,,,063-ANONAS 2021-02-01_2021-02-28 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,680.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,1028.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,230.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,362.29,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,529.71,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,236.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,414.29,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,411.71,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,223.29,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,204.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,631.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,292.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,284.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,162.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,289.71,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,242.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,433.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,548.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,170.43,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,234.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,313.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,366.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,379.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,403.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,187.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,257.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,368.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,517.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,262.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,170.43,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,516.71,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,607.43,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,508.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,676.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,484.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,401.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,176.14,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,379.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,156.14,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,321.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,271.14,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,459.71,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,276.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,233.14,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,253.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,435.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,600.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,340.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,504.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,417.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,545.86,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,409.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,406.86,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,232.57,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,156.14,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,381.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,217.00,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,156.14,30,
QUEZON CITY,AMIHAN,AMIHAN BARANGAY HALL,,1,403.57,30,
