,,,226-AIRPORT ROAD 2021-04-21_2021-04-21 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
PARANAQUE CITY,BACLARAN,BACLARAN UNIDA EVANGELICAL CHURCH,,1,568.00,30,
PARANAQUE CITY,BACLARAN,PALAWAN PAWNSHOP QUIRINO BACLARAN,,1,565.00,30,
PASAY CITY,BARANGAY 145,BARANGAY 77 ZONE 10 BARANGAY HALL,,1,540.00,30,
PASAY CITY,BARANGAY 155,ZONE 16 BRGY.15,,1,378.00,30,
PASAY CITY,BARANGAY 188,OFFICE FOR TRANSPORTATION SECURITY,OFFICE FOR TRANSPORTATION SECURITY,1,1974.00,30,
PASAY CITY,BARANGAY 191,ELECTRICAL ROAD,,1,189.00,30,
PASAY CITY,BARANGAY 191,SALEM COMPLEX,,1,755.00,30,
PASAY CITY,BARANGAY 197,NAIA ROAD,,1,347.00,30,
PASAY CITY,BARANGAY 201,TERMINAL 3 DEPARTURE AREA,,1,227.00,30,
PARANAQUE CITY,SANTO NINO,JOHANN STREET,,1,318.00,30,
PARANAQUE CITY,TAMBO,GABRIEL,,1,664.00,30,
PARANAQUE CITY,TAMBO,GABRIEL,,1,664.00,30,
PARANAQUE CITY,TAMBO,PARANAQUE CITY POLICE STATION,,1,198.00,30,
PARANAQUE CITY,TAMBO,ROLIGON MEGA COCKPIT,,1,307.00,30,
PARANAQUE CITY,VITALES,JETLANE VILLAGE,,1,352.57,30,
PARANAQUE CITY,VITALEZ,VITALEZ COMPOUND ROAD,,1,422.00,30,
PARANAQUE CITY,VITALEZ,VITALEZ COMPOUND ROAD,,1,961.00,30,
,,,Total,17,9429.57,,
