,,,772-NANGKA MARIKINA 2021-03-01_2021-03-31 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
SAN MATEO,BANABA,ALLIED BANK - SAN MATEO BRANCH,,1,438.00,30,
SAN MATEO,BANABA,ARMEL II,,1,182.00,30,
SAN MATEO,BANABA,ARMEL II,,1,299.00,30,
SAN MATEO,BANABA,ARMEL II,,1,401.00,30,
SAN MATEO,BANABA,ARMEL II,,1,404.00,30,
SAN MATEO,BANABA,ARMEL II,,1,717.00,30,
SAN MATEO,BANABA,ARMEL II,,1,257.00,30,
SAN MATEO,BANABA,ARMEL II,,1,193.00,30,
SAN MATEO,BANABA,ARMEL II,,1,126.00,30,
SAN MATEO,BANABA,ARMEL II,,1,224.00,30,
SAN MATEO,BANABA,ARMEL II,,1,520.00,30,
SAN MATEO,BANABA,ARMEL II,,1,253.00,30,
SAN MATEO,BANABA,ARMEL II,,1,237.00,30,
SAN MATEO,BANABA,ARMEL II,,1,171.00,30,
SAN MATEO,BANABA,ARMEL II,,1,338.00,30,
SAN MATEO,BANABA,ARMEL II,,1,257.00,30,
SAN MATEO,BANABA,ARMEL II,,1,275.00,30,
SAN MATEO,BANABA,ARMEL II,ARMEL VIII SUBDIVISION,1,869.18,30,
SAN MATEO,BANABA,ARMEL VIII SUBDIVISION,,1,361.00,30,
SAN MATEO,BANABA,ARMEL VIII SUBDIVISION,,1,568.42,30,
SAN MATEO,BANABA,ARMEL VIII SUBDIVISION,,1,207.00,30,
SAN MATEO,BANABA,ARMEL VIII SUBDIVISION,,1,499.32,30,
SAN MATEO,BANABA,ARMEL VIII SUBDIVISION,,1,408.00,30,
SAN MATEO,BANABA,ARMEL VIII SUBDIVISION,ARMEL II,1,300.14,30,
SAN MATEO,BANABA,ARMEL VIII SUBDIVISION,ARMEL VIII SUBDIVISION,1,335.43,30,
SAN MATEO,BANABA,ATIS ST.,,1,607.00,30,
SAN MATEO,BANABA,BATASAN - SAN MATEO ROAD,,1,501.00,30,
SAN MATEO,BANABA,BATASAN - SAN MATEO ROAD,,1,407.00,30,
SAN MATEO,BANABA,BATASAN - SAN MATEO ROAD,,1,406.00,30,
SAN MATEO,BANABA,BRGY. BANABA SECURITY OUTPOST,,1,246.00,30,
SAN MATEO,BANABA,BRGY. BANABA SECURITY OUTPOST,,1,211.00,30,
SAN MATEO,BANABA,BRGY. BANABA SECURITY OUTPOST,,1,217.00,30,
SAN MATEO,BANABA,BRGY. BANABA SECURITY OUTPOST,,1,550.00,30,
SAN MATEO,BANABA,BRGY. BANABA SECURITY OUTPOST,,1,904.00,30,
SAN MATEO,BANABA,BRGY. BANABA SECURITY OUTPOST,,1,145.00,30,
SAN MATEO,BANABA,BRGY. BANABA SECURITY OUTPOST,,1,511.00,30,
SAN MATEO,BANABA,BRGY. BANABA SECURITY OUTPOST,,1,402.00,30,
SAN MATEO,BANABA,BRGY. BANABA SECURITY OUTPOST,,1,258.00,30,
SAN MATEO,BANABA,BRGY. BANABA SECURITY OUTPOST,,1,300.00,30,
SAN MATEO,BANABA,BRGY. BANABA SECURITY OUTPOST,,1,191.00,30,
SAN MATEO,BANABA,BRGY. BANABA SECURITY OUTPOST,,1,500.14,30,
SAN MATEO,BANABA,BRGY. BANABA SECURITY OUTPOST,,1,770.00,30,
SAN MATEO,BANABA,BRGY. BANABA SECURITY OUTPOST,,1,259.00,30,
SAN MATEO,BANABA,DAMA DE NOCHE,,1,167.00,30,
SAN MATEO,BANABA,DONA PEPENG ELEMENTARY SCHOOL,,1,240.00,30,
SAN MATEO,BANABA,DONA PEPENG SUBDIVISION,,1,498.00,30,
SAN MATEO,BANABA,DONA PEPENG SUBDIVISION,,1,496.00,30,
SAN MATEO,BANABA,DONA PEPENG SUBDIVISION,,1,321.00,30,
SAN MATEO,BANABA,DONA PEPENG SUBDIVISION,,1,313.00,30,
SAN MATEO,BANABA,DONA PEPENG SUBDIVISION,,1,363.00,30,
SAN MATEO,BANABA,DONA PEPENG SUBDIVISION,,1,211.00,30,
SAN MATEO,BANABA,DONA PEPENG SUBDIVISION,,1,349.00,30,
SAN MATEO,BANABA,DONA PEPENG SUBDIVISION,,1,425.00,30,
SAN MATEO,BANABA,DONA PEPENG SUBDIVISION,,1,464.00,30,
SAN MATEO,BANABA,DONA PEPENG SUBDIVISION,,1,562.00,30,
SAN MATEO,BANABA,DONA PEPENG SUBDIVISION,,1,335.00,30,
SAN MATEO,BANABA,DONA PEPENG SUBDIVISION,,1,233.00,30,
SAN MATEO,BANABA,DONA PEPENG SUBDIVISION,,1,292.00,30,
SAN MATEO,BANABA,DREAMLAND SUBDIVISION,,1,380.00,30,
SAN MATEO,BANABA,FELICIDAD SUBDIVISION,,1,429.00,30,
SAN MATEO,BANABA,FELICIDAD SUBDIVISION,,1,541.00,30,
SAN MATEO,BANABA,FELICIDAD SUBDIVISION,,1,498.00,30,
SAN MATEO,BANABA,GEN. A. LUNA,,1,782.00,30,
SAN MATEO,BANABA,LIAMSON,,1,403.42,30,
SAN MATEO,BANABA,LIAMSON,,1,419.00,30,
SAN MATEO,BANABA,LIAMSON,,1,558.00,30,
SAN MATEO,BANABA,MERCURY DRUGSTORE - PUREGOLD SAN MATEO,,1,188.00,30,
SAN MATEO,BANABA,PAMVILLE SUBDIVISION,,1,500.00,30,
SAN MATEO,BANABA,SAN JOAQUIN VILLAGE,,1,1087.00,30,
