,,,341-365 PLAZA SAN NICOLAS 2021-05-05_2021-05-05 Calls Plot 
City,Barangay,Street,Landmark,Total Orders,Total Gross,Promised Time,
LAOAG CITY,BGY. NO. 49-B, RARABURAN,DARAYDAY STREET,,1,469.00,30,
LAOAG CITY,BGY. NO. 51-A, NANGALISAN EAST,BATAC - LAOAG,,1,550.00,30,
SAN NICOLAS,SAN BALTAZAR,COL. BONOAN ST.,,1,271.00,30,
SAN NICOLAS,SAN BALTAZAR,COL. BONOAN ST.,,1,215.00,30,
SAN NICOLAS,SAN BALTAZAR,FLOOR CENTER CERAMIC & GRANITE,,1,531.00,30,
SAN NICOLAS,SAN BALTAZAR,FLOOR CENTER CERAMIC & GRANITE,,1,214.00,30,
SAN NICOLAS,SAN ILDEFONSO,SAN NICOLAS - DINGRAS,,1,460.00,30,
SAN NICOLAS,SAN ILDEFONSO,SAN NICOLAS - DINGRAS,,1,174.00,30,
SAN NICOLAS,SAN ILDEFONSO,SAN NICOLAS CENTRAL SCHOOL,,1,1935.00,30,
SAN NICOLAS,SAN RUFINO,C. MORALES ST.,,1,577.86,30,
,,,Total,10,5396.86,,
